image_path,metadata,gender,sleeve_type
images/male/half_sleeve/13e89d4d-776c-48de-81e1-5382d65df6631712302468163HMMenPatternedResortShirt1.jpg,H&M - Men Patterned Resort Shirt - Rs. 844,male,half_sleeve
images/female/full_sleeve/123f2cb6-69c8-4a21-95e6-7391d678eed11691438766846HighStarWomenWhiteClassicOpaqueCasualShirt1.jpg,High Star - Pure Cotton Casual Shirt - Rs. 896,female,full_sleeve
images/female/full_sleeve/e2eea62c-d5be-4c43-870c-93b75b4996601648122419930-Marks--Spencer-Women-Tops-8711648122419430-1.jpg,Marks & Spencer - Pure Linen Casual Shirt - Rs. 1199,female,full_sleeve
images/female/full_sleeve/8d6f0dc9-8d98-448e-a9f7-2b7fa98fd2cb1704448975229-DL-Woman-Oversized-Spread-Collar-Cotton-Casual-Shirt-3641704-1.jpg,DL Woman - Oversized Cotton Casual Shirt - Rs. 999,female,full_sleeve
images/female/full_sleeve/9f963e5b-9ba6-461a-960c-f1c701ecfe981715692370989DressBerryWomenClassicOpaqueCasualShirt1.jpg,DressBerry - Mandarin Collar Casual Shirt - Rs. 593,female,full_sleeve
images/female/full_sleeve/df23f379-507a-4875-aee8-2af42dd61f3a1681815764966HighStarWomenGreyClassicTailoredFitOpaqueStripedPartyShirt1.jpg,High Star - Tailored Fit Casual Shirt - Rs. 1199,female,full_sleeve
images/female/full_sleeve/a7913854-79d1-45ef-83e2-1d3736d70c131717164429682V-MartWomenOpaqueCasualShirt1.jpg,V-Mart - Cotton Casual Shirt - Rs. 623,female,full_sleeve
images/female/full_sleeve/e05a447d-e6c7-4a5a-91ce-7b7972646f491662107951495StyleQuotientWomenWhiteClassicFormalShirt1.jpg,Style Quotient - Women Formal Shirt - Rs. 569,female,full_sleeve
images/female/full_sleeve/19ee012f-d1bc-4a95-a46d-bdbcb84b01e91691438760543HighStarWomenGreenClassicOpaqueCasualShirt1.jpg,High Star - Pure Cotton Casual Shirt - Rs. 896,female,full_sleeve
images/female/full_sleeve/62802873-6dee-470c-a2f5-8ab3538030b01695805850846-Chemistry-Women-Shirts-2591695805850232-1.jpg,Chemistry - Opaque Formal Shirt - Rs. 539,female,full_sleeve
images/female/half_sleeve/0431268d-83fc-4595-ba25-feb0fd4c1c5c1715192242717BewakoofWomenOpaqueCasualShirt1.jpg,Bewakoof - Cotton Shirt Style Top - Rs. 899,female,half_sleeve
images/female/half_sleeve/36d50a0a-d2a3-4917-ba66-27db624dfd6d1717849862023MINGLAYWomenRelaxedSheerStripedCasualShirt1.jpg,MINGLAY -  - Rs. 1500,female,half_sleeve
images/female/half_sleeve/585658fc-cf4b-4ccd-83c6-28e22c2ccd5a1715939827993-DressBerry-Women-Floral-Opaque-Printed-Casual-Shirt-92817159-1.jpg,DressBerry - Embroidered Cotton Shirt - Rs. 699,female,half_sleeve
images/female/half_sleeve/b850be84-93f9-4b16-b732-251a8a26623d1691139779826-Chemistry-Women-Shirts-5791691139779397-1.jpg,Chemistry - Opaque Casual Shirt - Rs. 549,female,half_sleeve
images/female/half_sleeve/e3b45d28-12f2-4f11-8e08-2d1ca0aba0401718097186630LatinQuartersWomenOpaqueCheckedCasualShirt1.jpg,Latin Quarters - Women Ethnic Casual Shirt - Rs. 1119,female,half_sleeve
images/female/half_sleeve/c1779819-6877-40fb-9830-0ec83a7c01821708690670823PURYSWomenSmartOpaquePrintedCasualShirt1.jpg,PURYS - Printed Satin Casual Shirt - Rs. 899,female,half_sleeve
images/female/half_sleeve/bae75d2b-d874-4aac-a335-9f3c271edbf01703684715957PURYSWomenNavyBlueClassicOpaqueCasualShirt1.jpg,PURYS - Satin Casual Shirt - Rs. 799,female,half_sleeve
images/female/half_sleeve/a5fb89fe-41ac-4398-b791-f60a46d83e4d1715848297708TANDULWomenSmartOpaquePrintedCasualShirt1.jpg,TANDUL - Opaque Casual Shirt - Rs. 699,female,half_sleeve
images/female/half_sleeve/b6303d51-2da6-4472-9194-e529265d7e3e1682321205083DressBerryWomenPinkWhiteSlimFitFloralPrintedCasualShirt1.jpg,DressBerry - Women Slim Fit Casual Shirt - Rs. 591,female,half_sleeve
images/female/half_sleeve/905bc418-717c-40d8-9086-82e79d0228481702719507851StyliWomenPinkCasualShirt1.jpg,Styli - Extended Sleeves Cotton Shirt - Rs. 721,female,half_sleeve
